AU,worked_at_home,did_not_go_to_work_today,drove_private_car_truck_van,drove_company_car_truck_van,passenger_car_truck_van,bus,train,motorcycle_powercycle,bicycle,walked_jogged,other,total_stated,total_went_to_work,not_elsewhere_included,total
521121,216,108,645,240,33,..C,12,9,..C,24,..C,1293,969,30,1323
521122,516,375,1629,576,54,6,33,30,9,66,24,3324,2430,75,3399
521131,138,90,441,183,33,..C,9,..C,..C,12,6,915,690,33,948
521132,381,237,1152,444,48,..C,33,18,..C,30,9,2367,1746,63,2430
521134,21,9,60,30,..C,..C,..C,..C,..C,..C,..C,129,99,6,135
521135,180,69,345,99,30,..C,..C,24,..C,30,6,792,546,24,816
521136,81,36,141,48,6,..C,..C,9,..C,9,..C,336,222,21,357
521151,270,135,606,141,21,..C,6,36,..C,21,..C,1239,834,36,1275
521152,198,90,555,180,30,..C,6,12,6,9,..C,1092,807,42,1137
521153,237,102,573,171,27,..C,15,18,..C,18,6,1176,834,36,1212
521160,63,45,210,84,6,..C,..C,6,..C,9,..C,426,321,12,441
521201,93,69,507,177,21,..C,15,..C,..C,12,..C,900,741,24,924
521202,42,33,126,45,..C,..C,..C,..C,..C,..C,..C,261,186,9,270
521203,36,30,114,27,9,..C,..C,..C,..C,..C,..C,216,150,6,222
521301,213,177,966,306,39,..C,45,12,..C,33,6,1809,1416,45,1854
521302,54,27,138,39,..C,..C,..C,..C,..C,..C,..C,267,189,..C,273
521501,153,153,897,258,39,39,..C,12,9,36,27,1632,1326,36,1668
521502,192,285,1395,396,60,39,..C,15,27,33,57,2499,2022,48,2550
521601,75,132,792,180,48,36,6,9,9,24,18,1335,1128,33,1368
521602,174,306,1902,429,78,81,15,24,21,78,48,3156,2673,66,3222
521801,21,69,537,51,81,69,9,..C,..C,39,..C,888,801,90,981
521802,48,96,654,75,90,72,12,..C,9,36,9,1104,963,123,1230
521803,33,54,441,60,66,39,12,..C,..C,15,..C,732,648,66,798
521901,63,114,810,96,129,90,57,9,21,96,12,1497,1320,216,1713
521902,..C,9,9,..C,..C,..C,..C,..C,..C,..C,..C,30,21,..C,33
522100,66,201,1338,183,153,39,102,..C,15,36,24,2160,1893,168,2331
522201,57,216,1371,183,126,63,93,12,6,66,27,2214,1941,135,2349
522202,66,192,1143,132,123,57,72,9,18,72,18,1902,1647,105,2007
522301,54,168,975,114,69,66,33,9,12,33,21,1548,1326,102,1653
522302,75,198,1263,141,123,96,24,9,12,48,21,2010,1740,138,2151
522400,51,201,1128,156,105,54,69,9,15,63,18,1869,1617,120,1986
522601,201,243,1497,369,66,45,..C,12,9,33,78,2550,2112,60,2610
522603,90,105,489,132,21,15,..C,9,..C,12,33,912,714,15,927
522604,102,123,717,159,24,27,..C,..C,..C,21,39,1224,996,24,1245
522605,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
522711,63,165,900,165,66,57,9,9,12,27,30,1503,1278,48,1551
522712,114,204,1191,222,69,63,6,9,6,21,27,1935,1617,36,1971
522721,30,45,276,54,18,24,9,..C,..C,12,..C,474,399,18,495
522722,93,171,1167,171,60,66,15,9,18,45,21,1839,1575,51,1890
522723,45,135,789,165,42,39,6,15,15,30,12,1293,1113,45,1338
522730,135,156,1059,273,54,57,12,9,9,21,60,1845,1554,36,1881
522810,150,243,1320,258,54,72,21,6,12,15,36,2193,1803,39,2235
522820,117,162,906,201,45,60,12,12,21,39,18,1590,1311,42,1635
522910,78,138,984,183,66,75,21,12,12,27,9,1614,1395,48,1662
522920,78,165,1101,195,81,81,30,18,18,54,15,1833,1590,69,1902
523000,108,246,1527,261,90,72,27,15,24,30,12,2415,2061,81,2499
523101,129,225,1539,342,72,60,18,12,12,33,24,2466,2115,60,2529
523102,153,198,1260,279,54,45,15,15,..C,39,36,2094,1743,48,2142
523105,60,111,774,171,27,30,6,..C,6,18,18,1230,1059,33,1266
523106,138,249,1452,300,60,66,18,9,9,33,18,2361,1971,54,2415
523107,42,72,543,93,36,27,15,..C,..C,21,6,858,744,24,885
523109,90,150,1233,231,54,57,12,..C,12,42,21,1899,1659,42,1944
523110,114,123,783,171,36,15,9,..C,..C,9,6,1266,1032,18,1287
523112,6,..C,9,..C,..C,..C,..C,..C,..C,..C,..C,21,15,..C,21
523113,111,171,1461,231,75,51,15,12,12,66,24,2226,1944,60,2283
523114,189,273,1545,324,96,57,12,12,15,21,15,2556,2091,63,2619
523115,162,279,2070,363,135,78,21,6,6,24,21,3165,2724,111,3279
523116,69,96,753,138,48,21,..C,..C,..C,9,9,1152,984,30,1182
523201,87,111,657,177,33,27,..C,12,..C,12,15,1140,945,9,1149
523202,177,117,588,171,24,..C,..C,6,..C,6,18,1119,825,24,1143
523300,258,405,1752,648,78,18,..C,18,9,63,168,3417,2757,72,3489
523402,24,45,396,24,69,48,..C,..C,..C,21,9,648,576,120,765
523403,..C,18,141,18,33,9,..C,..C,..C,..C,..C,234,207,33,267
523404,9,24,168,18,18,21,..C,..C,..C,..C,..C,279,243,9,288
523501,21,39,216,15,51,21,..C,..C,..C,24,6,402,345,45,447
523502,27,81,627,36,111,72,9,..C,6,39,9,1017,906,168,1182
523601,27,51,468,36,90,48,..C,..C,..C,27,9,765,684,120,879
523602,27,54,555,36,96,42,..C,6,15,39,18,888,807,141,1029
523711,39,81,696,57,132,57,..C,..C,..C,36,9,1116,1002,156,1272
523712,90,246,1788,216,165,99,30,15,12,42,18,2721,2385,153,2874
523713,123,198,1527,264,105,39,15,9,..C,18,21,2325,1998,72,2394
523721,30,105,768,63,138,45,9,..C,..C,30,9,1209,1074,126,1335
523722,72,177,1191,150,111,57,24,..C,..C,30,21,1842,1590,117,1959
523813,102,66,360,126,9,..C,21,..C,..C,..C,..C,702,534,18,717
523814,129,273,1782,393,117,27,54,12,9,18,21,2832,2433,93,2925
523816,30,126,762,114,66,24,30,..C,..C,12,12,1185,1032,72,1254
523817,12,48,396,54,33,15,12,..C,..C,..C,..C,582,519,60,639
523818,57,39,228,78,15,..C,..C,..C,..C,..C,..C,432,336,..C,435
523819,45,45,261,78,15,..C,6,..C,..C,6,..C,462,372,6,471
523820,120,291,1947,318,147,27,54,15,15,27,27,2988,2577,111,3099
523911,63,120,708,108,51,9,54,..C,6,45,15,1188,1005,87,1275
523912,75,138,1077,204,81,27,51,6,24,111,12,1812,1596,72,1884
523920,111,228,1275,303,81,21,72,9,18,30,9,2154,1812,81,2235
524001,81,144,951,183,54,42,15,15,24,12,6,1527,1302,51,1581
524002,120,228,1422,231,114,102,24,12,30,36,21,2346,1998,102,2445
524111,42,57,453,39,90,36,..C,..C,..C,33,9,768,672,99,870
524112,39,78,588,60,105,39,9,..C,..C,27,6,960,843,135,1095
524121,15,39,303,21,42,21,..C,..C,..C,12,..C,462,408,78,540
524122,33,90,579,45,108,48,6,..C,9,39,12,969,846,138,1104
524200,84,189,1485,144,186,54,18,..C,12,54,33,2262,1992,201,2466
524301,57,201,1263,141,120,36,81,6,15,87,9,2022,1761,153,2175
524302,30,144,1038,102,144,45,33,..C,6,30,21,1596,1425,171,1767
524303,48,210,1338,180,123,45,108,..C,6,39,18,2118,1863,171,2289
524402,..C,..C,12,..C,..C,..C,..C,..C,..C,..C,..C,21,18,..C,27
524403,21,63,438,27,75,27,6,..C,6,18,6,696,612,96,792
524404,33,69,486,48,57,36,12,..C,..C,21,..C,771,672,81,855
524405,33,81,663,60,87,39,21,..C,..C,18,12,1020,909,105,1125
524510,33,72,525,45,96,33,15,..C,..C,18,..C,849,744,132,984
524520,36,117,813,66,165,57,24,..C,15,39,21,1353,1200,159,1512
524530,39,96,813,63,165,57,30,..C,6,27,21,1317,1185,168,1485
524602,24,87,558,51,84,39,18,..C,6,45,6,927,810,99,1026
524603,48,99,627,81,72,33,33,..C,9,36,9,1044,900,93,1137
524604,18,21,141,21,12,12,6,..C,..C,48,..C,282,243,15,297
524711,24,72,531,63,84,15,30,..C,..C,15,..C,843,744,93,933
524712,15,42,357,39,54,9,24,..C,..C,15,..C,564,507,66,627
524713,21,75,507,51,93,12,21,..C,6,18,12,819,720,102,921
524720,48,183,1230,156,153,36,84,9,12,39,15,1962,1734,168,2130
524811,48,120,897,132,90,21,27,9,..C,18,12,1365,1200,96,1461
524812,57,177,1020,141,108,27,36,9,..C,21,9,1602,1374,111,1713
524821,18,60,480,57,66,15,21,..C,..C,12,6,741,663,75,819
524822,45,120,777,90,99,27,24,6,..C,24,12,1227,1068,129,1359
524901,99,255,1503,252,111,39,96,21,6,66,15,2469,2115,90,2562
524902,33,66,462,66,51,24,24,..C,..C,24,6,759,660,54,813
525001,66,156,906,138,111,36,60,..C,9,51,15,1545,1326,102,1647
525002,33,63,474,69,54,24,42,..C,..C,21,9,795,699,72,867
525101,42,153,1008,126,126,45,66,9,12,30,9,1629,1434,135,1764
525102,141,285,2043,450,135,33,96,21,12,36,21,3273,2850,108,3381
525201,270,168,630,216,18,..C,9,6,..C,21,15,1362,924,33,1395
525202,63,57,252,72,6,..C,..C,..C,..C,6,..C,459,339,18,474
525410,30,90,459,90,39,18,45,..C,9,36,9,828,708,51,882
525420,54,108,516,114,39,15,48,..C,9,42,6,957,798,48,1008
525510,18,27,249,39,24,6,12,..C,..C,18,..C,411,363,45,459
525520,60,120,747,186,39,..C,51,12,12,27,6,1272,1089,33,1305
525530,54,120,729,159,60,18,39,6,12,30,15,1239,1062,60,1299
525540,78,156,915,225,42,6,66,15,9,33,9,1557,1323,54,1611
525610,42,162,1107,186,105,33,57,12,9,36,12,1767,1560,132,1899
525620,33,57,429,78,33,9,30,6,6,15,..C,699,609,27,726
525630,51,174,1011,183,96,12,78,15,12,54,15,1698,1473,78,1776
525700,54,87,543,126,27,21,33,9,..C,18,9,933,789,57,990
525910,135,384,1974,528,183,9,81,15,18,147,27,3501,2982,129,3630
525921,141,339,1665,510,141,6,66,15,15,111,24,3042,2559,108,3153
525922,117,165,747,225,42,..C,30,9,..C,66,..C,1416,1134,42,1461
526103,60,165,774,153,48,..C,9,9,6,72,..C,1302,1077,42,1344
526104,69,189,828,162,54,..C,15,9,12,36,..C,1383,1122,45,1425
526105,51,90,414,132,33,..C,..C,..C,6,18,..C,747,606,21,768
526106,21,18,72,15,..C,..C,..C,..C,..C,..C,..C,132,96,..C,132
526200,75,189,978,255,81,6,21,18,..C,51,..C,1683,1416,90,1770
526400,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
526500,135,159,540,126,42,..C,..C,9,18,78,..C,1119,822,69,1185
526601,291,201,996,279,54,12,..C,51,9,21,18,1926,1437,87,2013
526602,240,117,387,105,27,..C,..C,24,..C,15,..C,924,567,45,969
526603,141,78,303,90,18,..C,..C,36,..C,..C,12,684,465,27,708
526701,381,159,921,255,54,..C,9,45,..C,42,12,1878,1335,66,1944
526702,174,39,150,36,9,..C,..C,33,..C,9,6,450,240,45,498
526900,48,66,300,84,18,..C,..C,..C,9,45,..C,576,462,24,603
527004,135,105,648,156,24,..C,..C,6,27,18,6,1128,891,24,1152
527005,66,108,615,213,30,9,..C,9,18,..C,..C,1074,900,27,1101
527006,114,168,1098,267,78,33,..C,15,42,15,6,1836,1554,39,1875
527007,135,201,1437,351,72,51,..C,30,45,27,15,2361,2025,54,2415
527008,99,171,903,213,54,27,..C,18,42,18,..C,1551,1278,42,1593
527009,246,381,2388,627,117,60,..C,30,75,45,21,3984,3360,75,4062
527111,333,87,345,93,12,..C,..C,117,..C,27,12,1029,612,54,1086
527112,12,12,96,18,..C,..C,..C,..C,..C,..C,..C,153,132,9,162
527122,93,51,231,63,15,..C,..C,21,..C,21,9,507,366,21,528
527123,234,144,714,231,21,..C,..C,45,9,21,6,1434,1056,54,1491
527124,9,18,60,15,..C,..C,..C,..C,9,..C,..C,120,96,..C,120
527125,222,111,558,150,27,..C,..C,48,9,18,..C,1149,816,33,1185
527131,444,249,1521,444,60,..C,..C,30,36,30,15,2838,2145,78,2916
527133,171,78,441,126,30,..C,..C,9,15,42,12,927,675,33,957
527134,51,54,435,153,18,..C,..C,..C,9,18,..C,747,642,15,762
527210,270,78,360,96,21,..C,..C,60,..C,33,9,927,579,126,1053
527221,135,48,195,63,9,..C,..C,15,..C,21,..C,501,315,24,522
527222,..C,9,60,12,6,..C,..C,..C,..C,..C,..C,99,87,9,111
527401,24,78,384,63,48,9,..C,..C,15,39,..C,666,567,84,753
527402,63,171,870,186,81,15,..C,12,21,72,..C,1494,1260,60,1551
527501,96,141,894,207,51,..C,..C,9,24,42,6,1473,1239,36,1512
527502,105,135,693,177,42,..C,..C,6,24,69,9,1260,1023,39,1302
527503,27,36,174,48,18,..C,..C,..C,..C,30,..C,342,279,12,354
527504,90,171,924,255,75,..C,..C,15,24,63,..C,1620,1362,48,1671
527505,120,204,1080,279,66,6,..C,12,27,36,9,1836,1512,39,1878
527600,21,30,138,30,..C,..C,..C,..C,..C,..C,..C,231,180,9,237
527700,27,87,483,99,30,..C,..C,..C,9,24,..C,771,657,39,810
527810,27,30,138,27,9,..C,..C,..C,..C,..C,..C,249,189,..C,252
527820,18,42,237,39,18,12,..C,6,9,12,..C,399,342,15,414
527912,117,45,423,150,18,..C,..C,12,9,..C,..C,780,618,27,807
527913,159,132,720,225,33,..C,..C,18,9,12,6,1323,1032,33,1356
527914,273,111,531,135,21,..C,..C,42,6,18,9,1149,765,33,1185
527915,93,57,318,84,9,..C,..C,12,9,12,..C,600,450,24,624
527916,24,39,204,63,9,..C,..C,..C,6,12,..C,360,297,15,375
527917,12,..C,36,15,..C,..C,..C,..C,..C,..C,..C,66,54,..C,72
527921,66,21,108,24,..C,..C,..C,15,..C,..C,..C,243,156,6,249
527922,90,81,354,117,18,..C,..C,15,..C,15,..C,696,525,18,711
527923,75,27,108,33,..C,..C,..C,24,..C,..C,..C,282,180,9,291
527924,66,36,141,30,9,..C,..C,12,..C,6,..C,306,204,15,321
527925,27,24,78,15,6,..C,..C,6,..C,..C,..C,159,111,9,171
527931,63,21,102,30,..C,..C,..C,6,..C,6,..C,234,153,12,246
527932,126,57,225,78,12,..C,..C,27,..C,12,..C,546,363,21,567
527934,303,105,387,93,9,..C,..C,78,..C,24,6,1014,606,48,1062
527935,93,42,231,78,12,..C,..C,24,..C,9,..C,501,369,27,528
527936,60,42,195,69,9,..C,..C,..C,..C,6,..C,399,297,18,414
527937,27,9,57,18,..C,..C,..C,..C,..C,..C,..C,117,81,..C,120
528000,168,39,93,18,..C,..C,..C,60,..C,9,..C,399,195,24,423
528200,66,186,1041,168,90,39,..C,15,24,78,9,1713,1461,108,1824
528310,129,291,1470,369,90,63,..C,21,96,87,18,2634,2214,75,2709
528320,57,120,735,177,42,21,..C,12,42,30,6,1245,1068,21,1269
528402,33,87,558,144,39,18,..C,15,42,36,6,978,858,18,999
528403,15,..C,39,12,..C,..C,..C,..C,..C,12,..C,87,66,..C,90
528405,12,9,39,12,..C,..C,..C,..C,..C,..C,..C,78,57,..C,84
528406,9,12,45,15,..C,..C,..C,..C,..C,..C,..C,93,69,..C,99
528501,78,189,1215,216,105,45,..C,24,45,33,15,1965,1701,57,2022
528503,15,108,564,84,51,24,..C,9,30,24,..C,915,792,54,972
528504,36,129,768,141,66,36,..C,15,27,30,9,1263,1098,48,1311
528505,69,135,810,189,51,33,..C,9,18,9,6,1326,1125,42,1368
528601,105,189,1221,285,72,57,..C,24,45,42,9,2049,1755,48,2100
528602,75,165,1035,198,87,45,..C,12,45,51,6,1719,1479,69,1788
528700,93,147,831,219,66,15,..C,18,39,72,9,1509,1269,57,1563
528800,69,147,957,189,75,39,..C,21,57,75,12,1644,1428,51,1698
528900,51,78,435,84,21,24,..C,9,33,129,9,873,744,36,909
529000,48,147,999,150,96,57,..C,24,57,93,18,1689,1494,93,1782
529100,93,183,858,174,66,45,..C,15,81,414,18,1953,1674,81,2034
529200,48,216,1125,162,93,60,..C,24,54,102,15,1902,1638,81,1983
529300,96,276,1446,288,108,45,..C,21,84,63,6,2433,2058,66,2499
529401,120,150,798,216,45,30,..C,12,27,21,6,1428,1158,33,1461
529402,96,144,807,162,63,39,..C,12,36,54,9,1419,1179,48,1467
529501,39,69,363,60,36,15,..C,6,15,24,6,630,525,24,654
529502,21,72,351,42,48,24,..C,9,21,27,6,630,531,60,690
529503,60,144,873,129,72,27,..C,15,51,30,12,1416,1212,45,1461
529600,96,120,690,147,48,18,..C,15,39,60,9,1245,1029,48,1290
529700,90,159,621,120,45,69,..C,9,51,285,18,1473,1221,69,1542
529800,57,132,624,96,54,30,..C,12,48,51,12,1116,930,48,1167
529900,69,99,585,96,45,24,..C,9,60,144,6,1140,969,45,1188
530000,72,180,825,132,69,39,..C,18,72,126,..C,1536,1284,87,1623
530100,66,144,582,93,48,27,..C,15,72,156,9,1215,1005,123,1338
530200,60,186,795,96,75,48,..C,18,75,180,12,1542,1299,81,1623
530300,78,207,1116,195,93,54,..C,15,111,162,21,2052,1761,63,2115
530400,60,159,822,114,72,48,..C,18,51,225,12,1581,1365,93,1674
530500,72,393,1020,108,87,87,..C,15,78,198,21,2073,1611,96,2172
530600,48,132,561,99,48,36,..C,15,30,60,6,1038,855,27,1065
530700,78,195,789,129,66,51,..C,12,75,150,15,1557,1284,48,1611
530800,78,129,714,126,36,30,..C,12,54,60,12,1260,1050,27,1281
531001,21,66,330,81,27,..C,..C,..C,9,18,..C,564,477,18,585
531002,57,159,759,180,45,9,..C,12,27,132,..C,1380,1164,57,1434
531003,63,150,696,168,54,..C,..C,12,21,69,9,1236,1029,42,1278
531004,60,144,651,165,48,12,..C,6,15,72,9,1182,975,42,1224
531100,27,15,36,12,..C,..C,..C,..C,..C,15,..C,111,69,9,123
531200,48,96,585,123,42,..C,..C,..C,12,111,..C,1035,891,57,1089
531301,282,81,336,99,21,..C,..C,45,..C,30,12,906,546,48,954
531303,45,15,78,21,..C,..C,..C,33,..C,..C,..C,204,141,15,219
531304,651,168,558,159,39,..C,..C,228,..C,66,21,1896,1077,126,2025
531500,9,18,81,33,21,..C,..C,..C,..C,24,..C,186,159,9,195
531600,..C,12,33,18,12,9,..C,..C,..C,9,..C,99,81,9,108
531710,84,18,57,9,..C,..C,..C,15,..C,12,..C,207,105,15,219
531720,285,66,267,87,27,..C,..C,69,..C,30,..C,840,489,42,882
531731,138,42,225,63,12,..C,..C,48,..C,12,..C,546,366,24,570
531732,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,21,15,..C,24
531800,192,36,165,39,12,..C,..C,42,..C,15,6,510,282,33,543
532000,54,198,834,189,132,..C,..C,6,27,162,9,1608,1362,129,1737
532200,15,12,36,15,..C,..C,..C,..C,..C,6,..C,87,63,..C,93
532300,9,12,33,9,..C,..C,..C,..C,..C,..C,..C,66,48,..C,75
532400,6,9,18,..C,..C,..C,..C,..C,..C,..C,..C,39,24,6,45
532501,180,72,318,84,27,..C,..C,33,..C,18,..C,747,492,57,804
532502,24,9,39,15,..C,..C,..C,24,..C,..C,..C,120,84,12,132
532601,81,33,84,27,6,..C,..C,15,..C,57,..C,312,195,18,327
532602,15,18,30,15,6,..C,..C,..C,..C,21,..C,111,78,..C,117
532700,162,33,102,21,15,..C,..C,48,..C,15,9,408,213,33,438
532901,21,45,216,57,24,..C,..C,..C,9,24,..C,399,330,42,441
532902,42,87,345,114,63,..C,..C,..C,9,63,6,738,612,51,789
532903,9,24,90,39,18,..C,..C,..C,..C,15,..C,201,168,9,207
532904,12,24,102,33,9,..C,..C,..C,..C,12,..C,201,162,15,213
533000,225,273,777,273,63,..C,..C,12,81,195,12,1914,1413,90,2004
533100,99,78,249,78,18,..C,..C,6,9,60,..C,597,420,42,639
533200,516,270,702,207,42,..C,..C,30,24,90,27,1911,1125,93,2004
533300,174,225,570,165,48,..C,..C,6,72,111,..C,1380,981,60,1443
533400,69,87,204,60,9,..C,..C,..C,9,36,..C,474,318,21,495
533501,69,96,411,99,21,..C,..C,..C,36,156,..C,897,732,39,939
533502,117,204,852,237,69,..C,..C,12,33,138,12,1683,1359,69,1752
533602,54,48,117,30,9,..C,..C,..C,..C,12,..C,285,180,9,291
533603,324,156,681,198,45,..C,..C,36,9,42,6,1506,1023,54,1557
533604,30,45,204,39,9,..C,..C,..C,..C,9,..C,339,264,12,351
533800,39,57,276,75,12,..C,..C,..C,15,36,..C,519,420,15,534
533901,462,117,378,99,15,..C,..C,99,..C,63,9,1242,666,60,1305
533902,123,69,291,87,15,..C,..C,24,..C,18,..C,633,441,21,657
533903,12,15,84,21,18,..C,..C,..C,..C,9,..C,159,132,9,171
534100,120,111,420,114,15,..C,..C,9,9,36,..C,843,612,24,867
534200,444,159,570,141,36,..C,..C,51,12,39,6,1467,861,96,1563
534300,87,138,633,177,66,..C,..C,..C,24,129,..C,1269,1044,78,1344
534400,120,210,771,156,48,..C,..C,9,21,153,9,1500,1170,78,1578
534500,408,150,522,111,27,..C,..C,69,6,27,9,1338,777,75,1413
534602,12,18,78,6,..C,..C,..C,..C,..C,..C,..C,129,96,..C,132
534603,489,108,399,90,15,..C,..C,93,9,51,12,1266,669,75,1344
534604,690,165,687,168,30,..C,..C,162,9,78,15,2016,1161,114,2133
534800,93,177,888,189,81,..C,..C,12,21,84,6,1554,1287,78,1632
534901,45,111,603,120,48,..C,..C,9,27,69,..C,1035,882,54,1089
534902,87,234,1140,282,87,9,..C,12,48,102,9,2007,1683,81,2088
535000,..C,21,81,..C,15,..C,..C,..C,..C,..C,..C,129,105,24,156
535100,21,48,168,45,9,..C,..C,..C,..C,24,..C,321,252,12,336
535211,21,6,51,21,..C,..C,..C,..C,..C,..C,..C,111,84,6,117
535212,24,12,60,12,..C,..C,..C,6,..C,..C,..C,126,87,9,135
535220,330,96,378,126,15,..C,..C,57,..C,54,..C,1065,636,45,1110
535231,153,24,153,33,9,..C,..C,33,..C,15,..C,423,249,27,450
535232,201,39,156,48,6,..C,..C,39,..C,12,6,513,273,36,546
535241,369,153,621,195,30,..C,..C,39,9,36,6,1458,939,54,1515
535242,186,48,177,51,9,..C,..C,36,..C,30,..C,540,306,21,561
535250,348,102,381,108,6,..C,..C,138,..C,21,6,1122,672,51,1170
535261,153,42,186,60,..C,..C,..C,60,..C,12,..C,525,333,27,555
535262,120,27,81,27,6,..C,..C,63,..C,6,..C,342,195,21,360
535310,21,96,399,105,33,..C,..C,6,30,24,..C,717,603,33,750
535320,9,33,153,36,18,..C,..C,..C,9,..C,..C,267,225,6,273
535330,15,75,369,54,36,..C,..C,..C,21,42,..C,621,531,33,654
535340,21,78,261,60,42,..C,..C,..C,18,42,..C,531,435,39,570
535350,6,24,90,21,15,..C,..C,..C,..C,36,..C,198,168,18,213
535360,21,132,597,126,75,..C,..C,6,21,36,..C,1023,867,54,1077
535370,12,57,333,57,45,..C,..C,6,27,36,..C,579,507,39,618
535380,6,12,33,6,..C,..C,..C,..C,..C,..C,..C,66,45,..C,69
535501,66,144,633,165,42,..C,..C,..C,42,129,6,1236,1026,51,1287
535502,102,198,891,261,72,..C,..C,9,48,144,..C,1731,1431,78,1809
535600,45,180,714,180,66,..C,..C,12,15,93,..C,1305,1080,102,1410
535700,33,30,135,45,6,..C,..C,..C,..C,12,..C,270,207,9,279
535800,111,192,636,135,57,..C,..C,..C,27,84,12,1263,963,87,1353
535900,24,33,216,42,21,..C,..C,..C,..C,12,..C,354,297,21,378
536000,156,144,468,168,24,..C,..C,..C,..C,30,6,1005,702,21,1026
536201,96,222,762,213,48,33,..C,15,27,36,12,1464,1146,45,1509
536202,174,231,957,336,54,18,..C,18,27,36,12,1857,1452,60,1917
536203,63,135,576,132,24,12,..C,9,9,27,..C,996,798,33,1029
536400,30,33,117,39,6,..C,..C,..C,..C,..C,..C,234,171,9,243
536503,258,138,540,162,27,..C,..C,..C,6,30,..C,1173,780,36,1209
536505,27,42,138,27,6,..C,..C,..C,6,12,..C,264,198,18,282
536506,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
536508,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
536509,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
536510,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
536512,36,12,81,18,6,..C,..C,..C,..C,9,..C,162,114,12,177
536513,135,204,897,252,36,15,..C,12,24,24,12,1608,1269,24,1632
536514,198,195,825,285,36,9,..C,9,18,36,12,1620,1227,45,1665
536515,111,150,681,219,33,18,..C,12,27,6,12,1275,1011,27,1302
536516,111,204,786,213,51,21,..C,15,30,33,15,1482,1167,51,1536
536517,129,207,816,255,39,15,..C,24,21,21,12,1536,1197,36,1572
536611,15,9,27,6,..C,..C,..C,..C,..C,15,..C,87,60,6,93
536613,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C,..C
536614,210,105,372,99,18,6,..C,..C,..C,21,..C,846,528,36,882
536615,384,159,621,165,36,..C,..C,18,..C,42,6,1443,900,48,1491
536620,504,261,1077,312,54,..C,..C,24,..C,18,9,2262,1500,48,2310
536630,549,291,1338,411,69,..C,..C,30,18,36,12,2763,1923,72,2835
536641,75,36,159,42,9,..C,..C,..C,..C,..C,..C,336,225,15,354
536642,264,129,528,168,24,..C,..C,21,..C,24,6,1170,777,39,1209
536651,48,51,186,39,6,..C,..C,..C,..C,12,..C,357,258,15,372
536653,291,99,414,108,33,..C,..C,30,..C,42,6,1026,636,48,1077
536654,327,117,531,147,36,..C,..C,69,..C,18,9,1260,813,66,1326
536810,201,240,1188,300,39,21,..C,18,123,132,21,2289,1845,78,2364
536821,201,282,1290,393,54,27,..C,30,165,117,30,2583,2106,87,2670
536822,..C,..C,18,9,..C,..C,..C,..C,..C,..C,..C,39,36,..C,42
536831,150,198,1095,273,66,36,..C,24,87,114,6,2046,1698,81,2124
536832,126,201,942,201,66,39,..C,18,54,54,9,1710,1383,78,1791
537000,207,267,1230,345,63,18,..C,18,48,54,12,2268,1794,42,2307
537100,72,204,912,207,75,33,..C,33,39,39,9,1623,1347,42,1665
537201,147,210,852,225,51,24,..C,18,51,45,..C,1632,1275,60,1692
537202,135,213,879,240,45,18,..C,24,48,36,12,1653,1305,27,1677
537301,135,249,1299,276,87,48,..C,24,45,54,12,2223,1839,69,2289
537302,45,123,381,111,30,..C,..C,9,18,15,..C,744,576,30,771
537400,63,117,555,114,33,9,..C,18,36,42,15,999,819,36,1035
537500,54,132,663,102,51,27,..C,21,42,33,9,1131,945,60,1188
537601,90,195,777,165,69,36,..C,15,45,84,12,1482,1200,69,1551
537602,225,294,1446,450,81,21,..C,24,48,33,27,2652,2130,69,2718
537700,48,90,396,78,48,18,..C,..C,24,42,..C,747,609,48,795
537800,12,36,183,27,6,9,..C,..C,6,12,..C,300,249,6,309
537900,177,330,1455,414,84,24,..C,30,33,24,9,2577,2073,60,2637
538000,93,168,669,174,39,21,..C,18,18,21,6,1230,969,39,1269
538101,30,81,318,60,24,18,..C,12,30,57,6,642,528,51,693
538102,159,216,870,207,66,21,..C,21,48,174,9,1785,1413,63,1848
538201,96,126,384,84,27,15,..C,9,18,189,..C,954,732,42,993
538202,..C,..C,6,..C,..C,..C,..C,..C,..C,..C,..C,9,9,..C,9
538301,57,78,375,105,15,6,..C,6,9,12,..C,663,534,15,681
538302,81,162,903,201,45,30,..C,21,15,18,..C,1479,1239,51,1527
538303,129,213,882,237,42,24,..C,21,15,18,18,1590,1251,39,1629
538501,90,153,663,120,69,..C,..C,..C,12,75,9,1197,954,69,1269
538502,108,249,900,186,84,6,..C,6,27,111,6,1686,1326,87,1770
538601,81,123,717,183,51,24,..C,9,33,30,6,1254,1050,36,1287
538602,33,66,273,78,18,6,..C,..C,12,12,..C,498,396,18,516
